user_id,event_type,event_time
1,signup,2025-10-03
2,signup,2026-06-09
3,signup,2026-04-27
3,kyc_completed,2026-04-28
4,signup,2026-02-07
4,kyc_completed,2026-02-09
4,first_deposit,2026-02-14
4,first_transaction,2026-02-18
5,signup,2026-02-05
6,signup,2026-07-10
6,kyc_completed,2026-07-13
7,signup,2025-10-02
8,signup,2026-05-12
9,signup,2025-11-13
9,kyc_completed,2025-11-14
9,first_deposit,2025-11-20
9,first_transaction,2025-11-21
10,signup,2025-10-05
10,kyc_completed,2025-10-06
11,signup,2026-03-11
11,kyc_completed,2026-03-12
12,signup,2026-08-22
13,signup,2026-05-26
13,kyc_completed,2026-05-27
13,first_deposit,2026-05-31
13,first_transaction,2026-06-04
14,signup,2026-06-05
14,kyc_completed,2026-06-05
15,signup,2026-05-20
15,kyc_completed,2026-05-23
15,first_deposit,2026-05-27
15,first_transaction,2026-06-01
16,signup,2026-06-14
16,kyc_completed,2026-06-17
16,first_deposit,2026-06-18
17,signup,2026-03-06
17,kyc_completed,2026-03-09
18,signup,2025-10-17
19,signup,2026-07-03
20,signup,2026-02-11
20,kyc_completed,2026-02-11
21,signup,2026-03-02
21,kyc_completed,2026-03-04
21,first_deposit,2026-03-06
21,first_transaction,2026-03-11
22,signup,2026-01-13
22,kyc_completed,2026-01-15
22,first_deposit,2026-01-19
23,signup,2025-11-06
24,signup,2026-08-04
24,kyc_completed,2026-08-04
25,signup,2026-06-12
25,kyc_completed,2026-06-12
26,signup,2026-04-23
26,kyc_completed,2026-04-25
26,first_deposit,2026-04-28
27,signup,2026-01-25
28,signup,2026-06-27
29,signup,2026-03-18
30,signup,2026-02-09
30,kyc_completed,2026-02-12
30,first_deposit,2026-02-15
30,first_transaction,2026-02-20
31,signup,2026-02-11
31,kyc_completed,2026-02-13
32,signup,2025-11-22
32,kyc_completed,2025-11-25
33,signup,2025-10-04
34,signup,2026-03-21
34,kyc_completed,2026-03-21
34,first_deposit,2026-03-23
34,first_transaction,2026-03-27
35,signup,2026-07-21
36,signup,2025-09-24
36,kyc_completed,2025-09-26
36,first_deposit,2025-09-28
36,first_transaction,2025-10-01
37,signup,2026-07-10
37,kyc_completed,2026-07-11
37,first_deposit,2026-07-12
37,first_transaction,2026-07-13
38,signup,2026-06-29
38,kyc_completed,2026-06-30
39,signup,2025-12-10
40,signup,2026-04-18
41,signup,2025-10-31
41,kyc_completed,2025-10-31
42,signup,2026-06-03
42,kyc_completed,2026-06-04
43,signup,2026-05-13
43,kyc_completed,2026-05-16
43,first_deposit,2026-05-17
44,signup,2026-01-08
44,kyc_completed,2026-01-11
44,first_deposit,2026-01-14
44,first_transaction,2026-01-16
45,signup,2025-09-25
45,kyc_completed,2025-09-28
46,signup,2026-08-20
46,kyc_completed,2026-08-22
46,first_deposit,2026-08-26
46,first_transaction,2026-08-26
47,signup,2026-02-10
48,signup,2026-07-23
48,kyc_completed,2026-07-23
48,first_deposit,2026-07-23
48,first_transaction,2026-07-28
49,signup,2026-05-05
50,signup,2026-06-11
50,kyc_completed,2026-06-11
51,signup,2026-06-04
51,kyc_completed,2026-06-05
52,signup,2025-11-10
52,kyc_completed,2025-11-11
52,first_deposit,2025-11-11
52,first_transaction,2025-11-15
53,signup,2026-01-11
53,kyc_completed,2026-01-14
54,signup,2026-02-17
55,signup,2026-03-01
56,signup,2025-09-16
56,kyc_completed,2025-09-17
57,signup,2026-03-18
58,signup,2025-10-27
58,kyc_completed,2025-10-28
59,signup,2026-05-29
59,kyc_completed,2026-05-31
60,signup,2026-05-07
60,kyc_completed,2026-05-08
