user_id,txn_date,amount,category
4,2026-02-26,57.17,transport
4,2026-02-26,12.25,groceries
4,2026-02-23,64.77,transport
4,2026-02-12,15.92,groceries
4,2026-03-07,20.96,shopping
4,2026-03-04,93.54,groceries
4,2026-02-27,18.94,eating_out
4,2026-03-31,27.04,groceries
4,2026-03-30,16.87,groceries
4,2026-03-23,209.21,transfer
4,2026-03-15,58.65,shopping
4,2026-03-21,14.96,groceries
4,2026-03-07,45.68,groceries
4,2026-03-22,26.68,eating_out
4,2026-03-31,10.09,groceries
4,2026-03-26,14.09,bills
4,2026-04-19,4.79,groceries
4,2026-04-21,6.77,groceries
4,2026-04-27,62.06,groceries
4,2026-04-10,7.01,eating_out
4,2026-04-28,68.49,shopping
4,2026-04-29,31.86,transport
4,2026-04-29,17.08,shopping
4,2026-04-12,3.53,transfer
4,2026-05-29,7.24,groceries
4,2026-05-16,16.04,transport
4,2026-05-20,11.46,groceries
4,2026-05-17,11.74,eating_out
4,2026-05-10,27.32,bills
4,2026-06-01,12.34,eating_out
4,2026-05-20,19.45,shopping
4,2026-05-24,10.9,groceries
4,2026-06-15,42.56,transport
4,2026-06-27,33.98,groceries
4,2026-06-21,32.95,eating_out
4,2026-06-14,15.2,shopping
4,2026-06-28,19.91,groceries
4,2026-08-01,24.8,transport
4,2026-08-05,13.32,groceries
4,2026-08-04,23.58,transport
4,2026-07-10,48.51,shopping
4,2026-07-16,19.59,transport
4,2026-08-05,4.12,shopping
4,2026-08-29,13.83,groceries
4,2026-08-17,38.96,shopping
4,2026-08-29,23.36,shopping
4,2026-08-26,10.71,eating_out
4,2026-08-26,44.2,bills
4,2026-08-08,16.96,transport
4,2026-08-07,79.29,groceries
9,2025-12-05,18.31,transfer
9,2025-12-01,11.55,shopping
9,2025-11-22,26.17,transfer
9,2025-12-08,8.47,transfer
9,2025-12-12,2.71,eating_out
9,2025-11-27,112.12,shopping
9,2025-11-27,21.8,eating_out
9,2025-11-18,95.64,bills
9,2026-01-03,5.94,shopping
9,2025-12-23,28.99,groceries
9,2026-01-04,8.43,shopping
9,2026-01-01,29.56,groceries
9,2026-01-05,21.1,groceries
9,2026-02-11,22.79,groceries
9,2026-02-05,25.62,transfer
9,2026-01-23,18.69,eating_out
9,2026-01-20,12.65,transfer
9,2026-02-08,17.5,bills
9,2026-01-27,10.6,eating_out
9,2026-02-07,25.9,transport
9,2026-01-14,20.16,groceries
9,2026-01-29,7.11,shopping
13,2026-06-15,37.4,groceries
13,2026-06-09,8.61,groceries
13,2026-07-01,8.07,eating_out
