user_id,signup_date,channel,country,device,age_band,ab_group
1,2025-10-03,referral,UK,android,18-24,not_in_test
2,2026-06-09,referral,PL,ios,18-24,not_in_test
3,2026-04-27,organic,ES,android,25-34,control
4,2026-02-07,organic,UK,ios,18-24,not_in_test
5,2026-02-05,organic,UK,ios,18-24,not_in_test
6,2026-07-10,organic,PL,ios,25-34,not_in_test
7,2025-10-02,paid_social,UK,ios,35-44,not_in_test
8,2026-05-12,app_store,PT,ios,18-24,not_in_test
9,2025-11-13,organic,UK,android,18-24,not_in_test
10,2025-10-05,organic,ES,ios,25-34,not_in_test
11,2026-03-11,referral,PT,android,25-34,control
12,2026-08-22,paid_social,PL,android,45+,not_in_test
13,2026-05-26,organic,ES,ios,35-44,not_in_test
14,2026-06-05,organic,UK,ios,25-34,not_in_test
15,2026-05-20,app_store,PL,android,18-24,not_in_test
16,2026-06-14,organic,PL,android,18-24,not_in_test
17,2026-03-06,paid_social,UK,android,35-44,treatment
18,2025-10-17,referral,UK,ios,25-34,not_in_test
19,2026-07-03,organic,PL,android,18-24,not_in_test
20,2026-02-11,referral,PL,ios,25-34,not_in_test
21,2026-03-02,organic,PT,ios,25-34,treatment
22,2026-01-13,organic,UK,ios,25-34,not_in_test
23,2025-11-06,organic,UK,android,18-24,not_in_test
24,2026-08-04,app_store,ES,ios,25-34,not_in_test
25,2026-06-12,organic,UK,android,25-34,not_in_test
26,2026-04-23,organic,ES,ios,25-34,treatment
27,2026-01-25,app_store,PT,ios,45+,not_in_test
28,2026-06-27,organic,PL,android,25-34,not_in_test
29,2026-03-18,app_store,UK,android,25-34,treatment
30,2026-02-09,referral,ES,ios,25-34,not_in_test
31,2026-02-11,paid_social,ES,android,25-34,not_in_test
32,2025-11-22,referral,PT,ios,35-44,not_in_test
33,2025-10-04,referral,PT,ios,18-24,not_in_test
34,2026-03-21,organic,PL,ios,35-44,treatment
35,2026-07-21,app_store,UK,android,18-24,not_in_test
36,2025-09-24,app_store,ES,ios,18-24,not_in_test
37,2026-07-10,app_store,UK,ios,35-44,not_in_test
38,2026-06-29,paid_social,PL,android,25-34,not_in_test
39,2025-12-10,paid_social,UK,ios,35-44,not_in_test
40,2026-04-18,paid_social,PT,ios,35-44,control
41,2025-10-31,organic,PT,ios,25-34,not_in_test
42,2026-06-03,paid_social,PL,android,18-24,not_in_test
43,2026-05-13,paid_social,UK,ios,25-34,not_in_test
44,2026-01-08,referral,UK,ios,35-44,not_in_test
45,2025-09-25,organic,UK,ios,18-24,not_in_test
46,2026-08-20,paid_social,ES,ios,25-34,not_in_test
47,2026-02-10,paid_social,UK,ios,18-24,not_in_test
48,2026-07-23,paid_social,ES,android,18-24,not_in_test
49,2026-05-05,app_store,UK,android,25-34,not_in_test
50,2026-06-11,referral,ES,android,25-34,not_in_test
51,2026-06-04,organic,PL,ios,35-44,not_in_test
52,2025-11-10,organic,ES,ios,25-34,not_in_test
53,2026-01-11,referral,PL,ios,35-44,not_in_test
54,2026-02-17,paid_social,PT,android,25-34,not_in_test
55,2026-03-01,app_store,PT,android,45+,control
56,2025-09-16,organic,UK,ios,18-24,not_in_test
57,2026-03-18,organic,ES,android,35-44,treatment
58,2025-10-27,paid_social,PL,ios,18-24,not_in_test
59,2026-05-29,referral,UK,android,35-44,not_in_test
60,2026-05-07,app_store,UK,android,35-44,not_in_test
61,2026-08-02,app_store,PL,ios,35-44,not_in_test
62,2026-05-30,paid_social,ES,ios,25-34,not_in_test
63,2026-01-12,app_store,PT,ios,18-24,not_in_test
64,2026-08-19,organic,UK,ios,35-44,not_in_test
65,2026-01-28,paid_social,PT,ios,25-34,not_in_test
66,2025-12-28,app_store,UK,ios,25-34,not_in_test
67,2026-07-27,paid_social,UK,android,25-34,not_in_test
68,2026-01-13,app_store,ES,ios,18-24,not_in_test
69,2025-09-28,organic,UK,ios,25-34,not_in_test
70,2026-02-18,organic,UK,ios,25-34,not_in_test
71,2026-06-17,paid_social,UK,ios,45+,not_in_test
72,2025-11-08,app_store,UK,ios,25-34,not_in_test
73,2026-02-16,organic,UK,android,45+,not_in_test
74,2025-10-18,app_store,UK,ios,18-24,not_in_test
75,2026-05-08,organic,PL,ios,25-34,not_in_test
76,2026-02-21,referral,ES,android,35-44,not_in_test
77,2025-12-30,paid_social,UK,ios,25-34,not_in_test
78,2025-11-22,organic,ES,ios,25-34,not_in_test
79,2026-03-25,referral,PT,ios,18-24,control
80,2026-05-02,referral,UK,ios,25-34,not_in_test
81,2026-08-09,paid_social,UK,android,25-34,not_in_test
82,2026-02-07,organic,UK,android,25-34,not_in_test
83,2025-10-29,organic,PT,ios,35-44,not_in_test
84,2026-07-01,app_store,PT,ios,35-44,not_in_test
85,2026-04-18,referral,UK,ios,25-34,control
86,2026-05-13,app_store,UK,ios,25-34,not_in_test
87,2025-10-06,referral,UK,android,25-34,not_in_test
88,2025-12-23,app_store,PL,ios,25-34,not_in_test
89,2026-06-07,organic,UK,android,25-34,not_in_test
90,2026-06-30,paid_social,PL,ios,25-34,not_in_test
91,2026-02-06,referral,PL,android,18-24,not_in_test
92,2026-06-20,organic,PT,ios,45+,not_in_test
93,2026-07-04,organic,UK,android,18-24,not_in_test
94,2026-01-20,paid_social,PL,android,18-24,not_in_test
95,2026-07-24,app_store,PL,android,45+,not_in_test
96,2025-12-14,referral,ES,ios,25-34,not_in_test
97,2025-11-27,organic,PL,ios,35-44,not_in_test
98,2026-05-07,app_store,PL,android,25-34,not_in_test
99,2026-04-20,organic,UK,ios,25-34,treatment
100,2025-10-21,organic,PT,android,35-44,not_in_test
101,2026-07-01,app_store,PL,ios,25-34,not_in_test
102,2025-11-12,referral,PT,android,45+,not_in_test
103,2026-06-20,app_store,PT,ios,25-34,not_in_test
104,2025-09-03,app_store,ES,android,25-34,not_in_test
105,2026-06-18,referral,ES,ios,35-44,not_in_test
106,2026-06-14,organic,UK,ios,25-34,not_in_test
107,2026-06-12,organic,UK,android,18-24,not_in_test
108,2026-05-01,app_store,ES,ios,18-24,not_in_test
109,2026-02-19,app_store,PT,android,25-34,not_in_test
110,2026-05-15,paid_social,ES,android,25-34,not_in_test
111,2025-12-10,paid_social,PL,ios,45+,not_in_test
112,2026-06-12,organic,ES,ios,35-44,not_in_test
113,2026-03-22,organic,UK,android,25-34,control
114,2026-02-15,app_store,PL,android,18-24,not_in_test
115,2026-03-04,organic,PL,ios,35-44,treatment
116,2026-03-27,paid_social,UK,android,25-34,treatment
117,2025-09-14,app_store,UK,ios,35-44,not_in_test
118,2025-10-21,paid_social,UK,ios,25-34,not_in_test
119,2025-11-29,paid_social,UK,android,25-34,not_in_test
120,2025-10-12,organic,ES,ios,25-34,not_in_test
121,2026-02-08,organic,ES,android,25-34,not_in_test
122,2026-05-02,organic,ES,ios,25-34,not_in_test
123,2026-04-27,organic,ES,ios,18-24,treatment
124,2026-02-19,organic,ES,android,18-24,not_in_test
125,2026-07-09,organic,ES,ios,18-24,not_in_test
126,2026-03-25,organic,UK,android,25-34,control
127,2025-09-29,organic,UK,android,18-24,not_in_test
128,2026-06-06,app_store,ES,android,25-34,not_in_test
129,2026-03-29,organic,PL,android,25-34,control
130,2026-04-20,paid_social,PT,android,25-34,treatment
131,2026-03-25,app_store,PL,ios,25-34,control
132,2026-03-21,organic,UK,android,35-44,treatment
133,2025-10-03,paid_social,UK,ios,18-24,not_in_test
134,2026-03-23,app_store,PT,android,18-24,control
135,2026-06-17,paid_social,PL,android,25-34,not_in_test
136,2025-12-20,organic,UK,ios,18-24,not_in_test
137,2026-04-08,referral,PL,android,25-34,treatment
138,2025-09-12,referral,PL,ios,35-44,not_in_test
139,2026-01-05,paid_social,PL,android,18-24,not_in_test
140,2026-02-06,organic,PT,ios,18-24,not_in_test
141,2026-08-24,organic,PL,ios,35-44,not_in_test
142,2025-11-18,app_store,ES,android,25-34,not_in_test
143,2025-12-10,organic,PL,ios,45+,not_in_test
144,2026-01-27,organic,ES,android,18-24,not_in_test
145,2026-08-28,paid_social,ES,android,35-44,not_in_test
146,2026-07-08,app_store,ES,android,35-44,not_in_test
147,2025-09-13,organic,PT,android,45+,not_in_test
148,2025-11-25,organic,PL,android,18-24,not_in_test
149,2026-06-27,paid_social,PL,ios,25-34,not_in_test
150,2025-09-22,referral,PL,android,25-34,not_in_test
151,2026-07-09,paid_social,UK,ios,25-34,not_in_test
152,2025-12-12,app_store,UK,ios,18-24,not_in_test
153,2026-08-01,organic,UK,android,25-34,not_in_test
154,2025-12-16,organic,PT,android,18-24,not_in_test
155,2026-02-06,paid_social,UK,android,25-34,not_in_test
156,2026-04-29,organic,PL,android,35-44,treatment
157,2025-10-16,paid_social,UK,ios,25-34,not_in_test
158,2026-03-22,referral,UK,android,35-44,treatment
159,2026-03-03,organic,PL,ios,18-24,treatment
160,2026-06-13,referral,ES,ios,35-44,not_in_test
161,2026-08-29,organic,UK,ios,18-24,not_in_test
162,2026-04-30,paid_social,ES,android,18-24,control
163,2026-01-27,paid_social,UK,ios,35-44,not_in_test
164,2026-01-26,paid_social,PL,ios,18-24,not_in_test
165,2026-01-31,organic,UK,ios,25-34,not_in_test
166,2026-06-24,app_store,UK,ios,45+,not_in_test
167,2025-12-26,app_store,UK,ios,18-24,not_in_test
168,2025-10-31,app_store,UK,ios,45+,not_in_test
169,2025-12-31,app_store,PT,ios,18-24,not_in_test
170,2025-09-09,organic,PT,ios,18-24,not_in_test
171,2025-10-09,paid_social,UK,ios,25-34,not_in_test
172,2025-10-03,organic,ES,ios,18-24,not_in_test
173,2026-06-08,app_store,PT,ios,35-44,not_in_test
174,2026-05-21,organic,UK,android,45+,not_in_test
175,2026-05-12,organic,PL,ios,25-34,not_in_test
176,2026-02-16,referral,UK,ios,25-34,not_in_test
177,2026-05-20,organic,ES,ios,25-34,not_in_test
178,2025-10-29,referral,PL,android,25-34,not_in_test
179,2026-07-25,organic,UK,android,25-34,not_in_test
180,2026-03-02,referral,UK,ios,25-34,treatment
181,2026-08-08,app_store,UK,ios,18-24,not_in_test
182,2025-10-26,paid_social,PL,ios,25-34,not_in_test
183,2026-03-01,organic,PL,ios,25-34,treatment
184,2026-05-12,organic,ES,ios,25-34,not_in_test
185,2026-02-28,organic,UK,ios,25-34,not_in_test
186,2026-02-10,organic,UK,ios,25-34,not_in_test
187,2025-10-31,paid_social,UK,ios,18-24,not_in_test
188,2026-01-17,organic,UK,ios,18-24,not_in_test
189,2025-11-26,organic,PT,ios,18-24,not_in_test
190,2025-12-19,organic,ES,ios,18-24,not_in_test
191,2026-05-07,app_store,PT,android,18-24,not_in_test
192,2026-04-18,organic,UK,ios,35-44,control
193,2026-04-10,organic,ES,ios,18-24,treatment
194,2026-01-10,paid_social,ES,android,25-34,not_in_test
195,2026-08-16,organic,UK,ios,25-34,not_in_test
196,2025-10-02,app_store,ES,ios,35-44,not_in_test
197,2026-01-03,organic,PT,android,18-24,not_in_test
198,2025-10-13,referral,PT,ios,35-44,not_in_test
199,2026-01-02,paid_social,PL,ios,18-24,not_in_test
200,2026-08-17,app_store,UK,android,25-34,not_in_test
201,2026-01-12,referral,PT,android,35-44,not_in_test
202,2026-07-28,referral,PL,android,25-34,not_in_test
203,2026-02-28,paid_social,ES,ios,45+,not_in_test
204,2026-05-13,paid_social,UK,ios,35-44,not_in_test
205,2026-02-14,referral,UK,ios,25-34,not_in_test
206,2025-12-06,paid_social,PT,ios,18-24,not_in_test
207,2026-06-06,paid_social,PL,android,35-44,not_in_test
208,2026-08-19,organic,PL,android,35-44,not_in_test
209,2025-12-05,organic,PT,ios,25-34,not_in_test
210,2026-06-11,paid_social,PT,android,25-34,not_in_test
211,2025-12-05,organic,PL,ios,25-34,not_in_test
212,2026-05-19,paid_social,UK,android,18-24,not_in_test
213,2026-06-15,organic,PL,ios,25-34,not_in_test
214,2026-02-11,paid_social,PL,android,45+,not_in_test
215,2026-05-27,referral,PT,android,18-24,not_in_test
216,2025-12-09,paid_social,PT,android,25-34,not_in_test
217,2025-09-29,referral,PL,android,18-24,not_in_test
218,2025-10-06,organic,UK,android,35-44,not_in_test
219,2026-02-10,organic,UK,android,25-34,not_in_test
220,2026-07-26,referral,UK,android,25-34,not_in_test
221,2025-10-17,app_store,PL,ios,25-34,not_in_test
222,2026-02-13,referral,PT,ios,35-44,not_in_test
223,2026-05-15,referral,ES,android,35-44,not_in_test
224,2025-11-13,referral,PL,ios,25-34,not_in_test
225,2026-05-21,referral,PT,ios,25-34,not_in_test
226,2025-12-21,referral,PL,ios,25-34,not_in_test
227,2026-06-22,referral,PL,ios,25-34,not_in_test
228,2026-03-30,organic,PL,android,25-34,control
229,2026-03-19,organic,PL,android,18-24,treatment
230,2025-11-04,paid_social,PL,ios,25-34,not_in_test
231,2026-02-16,paid_social,ES,ios,18-24,not_in_test
232,2026-07-09,referral,PL,ios,25-34,not_in_test
233,2025-09-08,organic,UK,android,35-44,not_in_test
234,2026-06-04,organic,PL,android,45+,not_in_test
235,2026-02-27,referral,ES,ios,45+,not_in_test
236,2026-05-20,organic,UK,ios,35-44,not_in_test
237,2026-04-30,app_store,ES,android,25-34,control
238,2026-02-05,organic,ES,android,35-44,not_in_test
239,2025-12-22,paid_social,PL,ios,18-24,not_in_test
240,2026-04-17,paid_social,UK,android,25-34,control
241,2025-10-22,organic,UK,ios,45+,not_in_test
242,2026-04-01,organic,UK,android,25-34,treatment
243,2025-10-05,organic,UK,android,25-34,not_in_test
244,2026-04-25,organic,PT,ios,25-34,control
245,2026-04-17,organic,ES,android,35-44,treatment
246,2025-10-01,referral,UK,android,18-24,not_in_test
247,2026-06-03,organic,PL,ios,25-34,not_in_test
248,2026-01-30,paid_social,PL,android,45+,not_in_test
249,2026-06-14,organic,UK,ios,45+,not_in_test
250,2025-09-16,app_store,PL,ios,25-34,not_in_test
251,2025-11-05,referral,ES,android,25-34,not_in_test
252,2026-02-27,app_store,PL,android,35-44,not_in_test
253,2025-11-08,app_store,UK,ios,35-44,not_in_test
254,2025-12-30,organic,PT,ios,18-24,not_in_test
255,2026-04-29,referral,UK,android,35-44,treatment
256,2025-10-23,organic,ES,android,45+,not_in_test
257,2026-05-05,app_store,ES,ios,25-34,not_in_test
258,2025-10-08,paid_social,UK,android,18-24,not_in_test
259,2025-11-03,paid_social,PL,android,35-44,not_in_test
260,2026-04-02,app_store,PT,android,25-34,control
261,2026-06-16,app_store,PL,ios,35-44,not_in_test
